"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","recordID","locationID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimDepth","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLatitude","verbatimLongitude","verbatimLongitude","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimSRS","footprintSRS","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks"
"dr1411","e74b0891-e37b-4627-93f0-85e44b34a100","2021-03-05T21:24:41Z","","CC-BY-NC 4.0 (Int)","toohey-forest-wildlife","","","https://www.inaturalist.org/observations/70624723","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© toohey-forest-wildlife some rights reserved","","","https://www.inaturalist.org/observations/70624723","70624723","","","","","","","","","","","PRESENT","","","","","","","","Black Wattle in shade","","5ce51ba9-3ec4-45fd-9303-392abf9df46d","","","","","","","Australia","AU","Queensland","","","","Ring Road, Nathan, QLD, AU","","","","","","","","","","","-27.550968","153.057833","EPSG:4326","53.0","","","-27.5509681935","","153.0578333574","","EPSG:4326","","","","","","","","",""
"dr1411","3019ef83-f98f-42ef-a5ae-bf2811b232a8","2020-06-21T23:01:35Z","","CC-BY-NC 4.0 (Int)","greg n","","","https://www.inaturalist.org/observations/50353354","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© greg n some rights reserved","","","https://www.inaturalist.org/observations/50353354","50353354","","","","","","","Adult","","","","PRESENT","","","","","","","","In top of Grey Gum, Eucalyptus propinqua, all day occasionally annoyed by Noisy Miner group and seen eating a few leaves. No obvious ear tag seen.","","11f19da5-a7dd-4bf7-bfee-9796337ee024","","","","","","","Australia","AU","Queensland","","","","Octantis Street Park, Brisbane QLD, Australia","","","","","","","","","","","-27.510413","153.069852","EPSG:4326","5.0","","","-27.5104132827","","153.0698524202","","EPSG:4326","","","","","","","","",""
"dr1411","3040bc61-a8f3-4048-9b2d-d522eb4f799e","2020-12-03T12:58:57Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/66041694","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/66041694","66041694","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","0501addc-b25a-411f-824f-8d9ae784f082","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.539382","153.054895","EPSG:4326","","","","-27.5393816667","","153.054895","","EPSG:4326","","","","","","","","",""
"dr1411","d8da45f6-d7e9-40d3-ac34-30bd30fa1386","2020-03-05T14:29:14Z","","CC-BY-NC 4.0 (Int)","greg n","","","https://www.inaturalist.org/observations/39522240","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© greg n some rights reserved","","","https://www.inaturalist.org/observations/39522240","39522240","","","","","","","Adult","","","","PRESENT","","","","","","","","Resting in a small Acacia.","","1e2df38e-4591-485e-bc4f-c649177cd6d2","","","","","","","Australia","AU","Queensland","","","","Whites Hill Reserve, Brisbane QLD, Australia","","","","","","","","","","","-27.512263","153.080475","EPSG:4326","47.0","","","-27.512262778","","153.08047541","","EPSG:4326","","","","","","","","",""
"dr1411","4909d74b-0aa3-42ca-bb39-30c0431a4812","2020-09-12T13:15:10Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59311137","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59311137","59311137","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","59c3c158-0596-4162-8ccd-f00a8e9314c4","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.548953","153.059553","EPSG:4326","","","","-27.5489533333","","153.0595533333","","EPSG:4326","","","","","","","","",""
"dr1411","f820a5b1-aef4-4929-bd34-bcf7fba251bf","2021-01-29T10:27:30Z","","CC-BY-NC 4.0 (Int)","shaun_reay","","","https://www.inaturalist.org/observations/49394306","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© shaun_reay some rights reserved","","","https://www.inaturalist.org/observations/49394306","49394306","","","","","","","Adult","","","","PRESENT","","","","","","","","No tag. Same koala i sighted yesterday arvo","","63464243-45b8-4530-a445-e9c31909e157","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.502704","153.228726","EPSG:4326","4.0","","","-27.5027038445","","153.2287259278","","EPSG:4326","","","","","","","","",""
"dr1411","be03b242-a4da-4c6e-b9df-d0843d9cf3a8","2020-03-10T04:13:54Z","","CC-BY-NC 4.0 (Int)","Susan","","","https://www.inaturalist.org/observations/39641236","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Susan some rights reserved","","","https://www.inaturalist.org/observations/39641236","39641236","","Susan","","","","","","","","","PRESENT","","","","","","","","","","aff6f0e1-574a-4e46-9999-70960f04698a","","","","","","","Australia","AU","Queensland","","","","Mt Gravatt Outlook Reserve, Mount Gravatt, QLD, AU","","","","","","","","","","","-27.545735","153.068853","EPSG:4326","98.0","","","-27.5457345177","","153.0688526965","","EPSG:4326","","","","","","","","",""
"dr1411","f1cb9f18-5a69-41ee-ab3a-6868f463869d","2021-04-06T11:39:47Z","","CC-BY-NC 4.0 (Int)","greg n","","","https://www.inaturalist.org/observations/72502491","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© greg n some rights reserved","","","https://www.inaturalist.org/observations/72502491","72502491","","","","","","","Adult","","","","PRESENT","","","","","","","","No ear tags. In a Eucalyptus tereticornis.","","eefc8880-f88f-4cf0-a6c4-e997463363b9","","","","","","","Australia","AU","Queensland","","","","Eva St Park, Brisbane QLD, Australia","","","","","","","","","","","-27.50956","153.070432","EPSG:4326","10.0","","","-27.5095597156","","153.0704315316","","EPSG:4326","","","","","","","","",""
"dr1411","554fc60b-ec06-4bf5-8d87-14bf03330c1c","2020-09-12T13:14:41Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59311153","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59311153","59311153","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","3046cee7-3f2f-45da-af0d-3dc62aeab72c","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.549795","153.06019","EPSG:4326","","","","-27.549795","","153.06019","","EPSG:4326","","","","","","","","",""
"dr1411","5258f6a4-0a55-4d10-b1e1-16675d77cc8a","2020-09-23T01:19:03Z","","CC-BY-NC 4.0 (Int)","Lesley Hardiman","","","https://www.inaturalist.org/observations/60294913","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Lesley Hardiman some rights reserved","","","https://www.inaturalist.org/observations/60294913","60294913","","Hardiman, Lesley","","","","","","","","","PRESENT","","","","","","","","","","c373ae21-6e54-45bd-afc5-edaa37ad488f","","","","","","","Australia","AU","Queensland","","","","Wellington Point QLD 4160, Australia","","","","","","","","","","","-27.49006","153.247936","EPSG:4326","12.0","","","-27.490060232","","153.2479358191","","EPSG:4326","","","","","","","","",""
"dr1411","c836312e-825c-4443-856b-5ab59b11bc15","2020-03-21T22:18:59Z","","CC-BY-NC 4.0 (Int)","toohey-forest-wildlife","","","https://www.inaturalist.org/observations/40311939","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© toohey-forest-wildlife some rights reserved","","","https://www.inaturalist.org/observations/40311939","40311939","","","","","","","","","","","PRESENT","","","","","","","","Tagged right ear - female in Tallowood","","90dfd4d9-2bfd-4ee4-880e-a7cfa0879809","","","","","","","Australia","AU","Queensland","","","","Ring Road, Nathan, QLD, AU","","","","","","","","","","","-27.551369","153.057327","EPSG:4326","54.0","","","-27.5513685743","","153.0573266628","","EPSG:4326","","","","","","","","",""
"dr1411","6d2d449c-7670-4f2b-8d2a-c65e9427fd4e","2020-06-28T10:45:39Z","","CC-BY-NC 4.0 (Int)","greg n","","","https://www.inaturalist.org/observations/51196835","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© greg n some rights reserved","","","https://www.inaturalist.org/observations/51196835","51196835","","","","","","FEMALE","Adult","","","","PRESENT","","","","","","","","","","d75a48ff-f83d-4cb6-a9d6-c0ba3cbd7bd6","","","","","","","Australia","AU","Queensland","","","","Moorina QLD 4506, Australia","","","","","","","","","","","-27.139303","152.882671","EPSG:4326","18.0","","","-27.1393030282","","152.8826711531","","EPSG:4326","","","","","","","","",""
"dr1411","bf35c5a2-5292-40ea-8620-c24698bddc5a","2021-07-14T04:03:20Z","","CC-BY-NC 4.0 (Int)","Bruce McLennan","","","https://www.inaturalist.org/observations/85404584","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Bruce McLennan some rights reserved","","","https://www.inaturalist.org/observations/85404584","85404584","","Mclennan, Bruce","","","","","","","","","PRESENT","","","","","","","","","","0460d7ba-acd0-48f4-b9a8-509a81320472","","","","","","","Australia","AU","Queensland","","","","Cressbrook Creek QLD 4355, Australia","","","","","","","","","","","-27.245117","152.184528","EPSG:4326","","","","-27.2451166667","","152.1845283333","","EPSG:4326","","","","","","","","",""
